symbol,mode,trade_count,profit_factor,win_rate,sharpe,expectancy,max_drawdown,max_drawdown_pct,total_pnl,roi_pct,avg_R,avg_trades_per_day,long_trades,short_trades,long_win_rate,short_win_rate,best_trade,worst_trade,trading_days
MES,both,400,0.94,0.4275,-0.3543,-3.34,3271.25,6.41,-1336.25,-2.67,-0.034,1.0,240,160,0.4333,0.4188,596.25,-918.75,400
MES,long,240,0.83,0.4333,-1.0766,-9.04,2637.5,5.26,-2170.0,-4.34,-0.096,1.0,240,0,0.4333,0.0,307.5,-918.75,240
MES,short,160,1.088,0.4188,0.4827,5.21,2250.0,4.29,833.75,1.67,0.051,1.0,0,160,0.0,0.4188,596.25,-521.25,160
MGC,both,187,1.209,0.4813,1.0344,11.07,1244.0,2.4,2071.0,4.14,0.107,1.0,114,73,0.5088,0.4384,778.0,-569.0,187
MGC,long,114,1.458,0.5088,2.0309,21.68,944.0,1.86,2471.0,4.94,0.221,1.0,114,0,0.5088,0.0,778.0,-442.0,114
MGC,short,73,0.911,0.4384,-0.5098,-5.48,1545.0,3.03,-400.0,-0.8,-0.05,1.0,0,73,0.0,0.4384,558.0,-569.0,73
MNQ,both,394,1.006,0.4442,0.0338,0.61,4201.5,7.77,239.5,0.48,0.003,1.0,226,168,0.4602,0.4226,1069.5,-1272.5,394
MNQ,long,226,0.935,0.4602,-0.4063,-6.35,3313.5,6.55,-1435.0,-2.87,-0.035,1.0,226,0,0.4602,0.0,594.0,-1272.5,226
MNQ,short,168,1.083,0.4226,0.481,9.97,3693.0,6.69,1674.5,3.35,0.048,1.0,0,168,0.0,0.4226,1069.5,-1195.5,168
