date,equity,daily_pnl,cumulative_pnl,trailing_dd,trades_raw,trades_controlled,active_strategies,regime,rv_regime,persistence,kill_switch,run_count
2026-03-10,49749.78,-250.22000000000003,-250.22000000000003,250.22000000000116,3,3,6,HIGH_VOL_TRENDING,HIGH_RV,CHOPPY,OK,1
2026-03-11,49755.55,-244.45000000000002,-244.45000000000002,244.4499999999971,6,5,6,HIGH_VOL_TRENDING,HIGH_RV,CHOPPY,OK,1
2026-03-12,49810.56,55.01,-189.44000000000003,189.44000000000233,1,1,6,HIGH_VOL_TRENDING,HIGH_RV,CHOPPY,OK,2
2026-03-16,49343.1,-467.46000000000004,-656.9000000000001,656.9000000000015,6,4,17,HIGH_VOL_TRENDING,HIGH_RV,CHOPPY,OK,3
2026-03-17,49224.36,-118.74,-775.6400000000001,775.6399999999994,3,1,17,NORMAL_TRENDING,HIGH_RV,CHOPPY,OK,4
2026-03-18,49366.62,142.26,-633.3800000000001,633.3799999999974,3,2,18,HIGH_VOL_TRENDING,HIGH_RV,CHOPPY,OK,5
2026-03-18,49366.62,142.26,-633.3800000000001,633.3799999999974,3,2,18,HIGH_VOL_TRENDING,HIGH_RV,CHOPPY,OK,5
2026-03-22,49587.89,221.26999999999998,-412.1100000000001,412.1100000000006,4,4,18,HIGH_VOL_TRENDING,HIGH_RV,CHOPPY,OK,6
2026-03-22,49587.83,-0.06,-412.17000000000013,412.16999999999825,2,2,18,HIGH_VOL_TRENDING,HIGH_RV,CHOPPY,OK,7
2026-03-24,48811.95,-775.88,-1188.0500000000002,1188.050000000003,12,7,18,HIGH_VOL_TRENDING,HIGH_RV,CHOPPY,OK,8
2026-03-24,48811.95,-775.88,-1188.0500000000002,1188.050000000003,12,7,18,HIGH_VOL_TRENDING,HIGH_RV,CHOPPY,OK,8
2026-03-25,48935.7,123.75,-1064.3000000000002,1064.300000000003,3,2,18,HIGH_VOL_TRENDING,HIGH_RV,CHOPPY,OK,9
2026-03-26,48935.7,0.0,-1064.3000000000002,1064.300000000003,0,0,18,HIGH_VOL_TRENDING,HIGH_RV,CHOPPY,OK,10
2026-03-26,49181.91,246.20999999999998,-818.0900000000001,818.0899999999965,3,2,18,HIGH_VOL_TRENDING,HIGH_RV,CHOPPY,OK,11
2026-04-05,49067.74,-114.17000000000006,-932.2600000000002,932.260000000002,18,16,14,HIGH_VOL_RANGING,HIGH_RV,CHOPPY,OK,12
