day,close,funding
2026-03-16 00:00:00+00:00,74886.47,5.4222793014899993e-05
2026-03-17 00:00:00+00:00,73934.11,4.61476504262e-05
2026-03-18 00:00:00+00:00,71245.02,-2.21982713716e-05
2026-03-19 00:00:00+00:00,69918.3,7.93711195424e-05
2026-03-20 00:00:00+00:00,70497.01,9.3357016096e-05
2026-03-21 00:00:00+00:00,68912.02,8.12429472917e-05
2026-03-22 00:00:00+00:00,67844.94,-0.0001140778580036
2026-03-23 00:00:00+00:00,70874.23,0.0001023141849279
2026-03-24 00:00:00+00:00,70533.49,0.0002493648628307
2026-03-25 00:00:00+00:00,71301.53,0.00015852670863829998
2026-03-26 00:00:00+00:00,68769.02,0.000218562405099
2026-03-27 00:00:00+00:00,66353.34,7.39354119467e-05
2026-03-28 00:00:00+00:00,66320.15,-8.932376803100002e-06
2026-03-29 00:00:00+00:00,65956.94,2.36047256984e-05
2026-03-30 00:00:00+00:00,66737.18,0.0001907947191201
2026-03-31 00:00:00+00:00,68221.85,0.000268729057912
2026-04-01 00:00:00+00:00,68112.35,0.0001496262073659
2026-04-02 00:00:00+00:00,66894.48,-8.89452133312e-05
2026-04-03 00:00:00+00:00,66959.99,8.255819816200001e-05
2026-04-04 00:00:00+00:00,67291.73,8.6818879792e-05
2026-04-05 00:00:00+00:00,69005.0,3.03599742031e-05
2026-04-06 00:00:00+00:00,68853.61,0.00012066494270329999
2026-04-07 00:00:00+00:00,71910.2,-3.836951632000003e-06
2026-04-08 00:00:00+00:00,71085.99,8.312957063100001e-05
2026-04-09 00:00:00+00:00,71798.01,-3.82370165422e-05
2026-04-10 00:00:00+00:00,72997.88,-0.0001282498894296
2026-04-11 00:00:00+00:00,73086.0,-0.000348564571429
2026-04-12 00:00:00+00:00,70755.35,-8.467734437200001e-05
2026-04-13 00:00:00+00:00,74446.0,-0.00016548743071180002
2026-04-14 00:00:00+00:00,74179.04,-0.0002528603961611
2026-04-15 00:00:00+00:00,74836.31,-0.0001065193328636
2026-04-16 00:00:00+00:00,75163.09,-4.20669908507e-05
2026-04-17 00:00:00+00:00,77098.01,-0.0002928365093246
2026-04-18 00:00:00+00:00,75736.82,-0.0001373942280144
2026-04-19 00:00:00+00:00,73823.14,-7.21374464774e-05
2026-04-20 00:00:00+00:00,75864.86,-3.4798213622000034e-06
2026-04-21 00:00:00+00:00,76348.58,-4.92660481275e-05
2026-04-22 00:00:00+00:00,78208.52,-0.000120031912457
2026-04-23 00:00:00+00:00,78281.32,-0.00011565539988219999
2026-04-24 00:00:00+00:00,77461.8,-4.52065847333e-05
2026-04-25 00:00:00+00:00,77650.72,-0.0001887907419119
2026-04-26 00:00:00+00:00,78673.83,1.16177104468e-05
2026-04-27 00:00:00+00:00,77364.42,9.42371166062e-05
2026-04-28 00:00:00+00:00,76317.99,-8.0477249081e-05
2026-04-29 00:00:00+00:00,75752.88,4.30597774089e-05
2026-04-30 00:00:00+00:00,76305.78,9.967916743749999e-05
2026-05-01 00:00:00+00:00,78234.05,0.0001102780681826
2026-05-02 00:00:00+00:00,78682.31,-1.53418135047e-05
2026-05-03 00:00:00+00:00,78558.89,0.0001236799048763
2026-05-04 00:00:00+00:00,79852.37,5.01698165068e-05
2026-05-05 00:00:00+00:00,80907.72,-0.00011399902181910001
2026-05-06 00:00:00+00:00,81438.1,3.318194668399999e-06
2026-05-07 00:00:00+00:00,80005.38,0.0001128649971486
2026-05-08 00:00:00+00:00,80188.82,0.00014354969923350002
2026-05-09 00:00:00+00:00,80655.96,2.14940992702e-05
2026-05-10 00:00:00+00:00,82199.99,3.52477971835e-05
2026-05-11 00:00:00+00:00,81727.06,0.00018627113207920001
2026-05-12 00:00:00+00:00,80484.72,-1.9461837809000014e-06
2026-05-13 00:00:00+00:00,79288.26,0.0001401700877346
2026-05-14 00:00:00+00:00,81079.39,0.0001034344935052
2026-05-15 00:00:00+00:00,79058.51,7.07750273558e-05
2026-05-16 00:00:00+00:00,78105.45,-3.48430492216e-05
2026-05-17 00:00:00+00:00,77407.59,-0.00014215311080280002
2026-05-18 00:00:00+00:00,76943.98,2.816931672099998e-06
2026-05-19 00:00:00+00:00,76767.48,0.0001492468056119
2026-05-20 00:00:00+00:00,77475.99,0.00023814079870140001
