trade_num,equity
0,0.0
1,68.0
2,102.0
3,-16.0
4,-125.0
5,-19.0
6,29.0
7,158.0
8,134.0
9,229.0
10,195.0
11,159.0
12,194.0
13,134.0
14,74.0
15,136.0
16,69.0
17,132.0
18,150.0
19,284.0
20,207.0
21,293.0
22,251.0
23,331.0
24,332.0
25,301.0
26,207.0
27,497.0
28,767.0
