symbol,mode,trade_count,profit_factor,win_rate,sharpe,expectancy,max_drawdown,max_drawdown_pct,total_pnl,roi_pct,avg_R,avg_trades_per_day,long_trades,short_trades,long_win_rate,short_win_rate,best_trade,worst_trade,trading_days
MES,both,1295,1.485,0.4185,2.868,7.42,1002.5,1.66,9606.25,19.21,0.273,2.56,687,608,0.4338,0.4013,1070.0,-205.0,505
MES,long,687,1.492,0.4338,2.0923,6.76,880.0,1.59,4642.5,9.28,0.27,1.62,687,0,0.4338,0.0,1070.0,-171.25,424
MES,short,608,1.479,0.4013,2.3543,8.16,890.0,1.6,4963.75,9.93,0.276,1.57,0,608,0.0,0.4013,508.75,-205.0,388
MGC,both,692,0.991,0.3916,-0.034,-0.17,2819.0,5.63,-119.0,-0.24,-0.005,2.53,377,315,0.435,0.3397,2727.0,-513.0,273
MGC,long,377,0.815,0.435,-1.1047,-3.43,1800.0,3.59,-1294.0,-2.59,-0.102,1.62,377,0,0.435,0.0,276.0,-513.0,233
MGC,short,315,1.182,0.3397,0.4442,3.73,1571.0,3.11,1175.0,2.35,0.116,1.49,0,315,0.0,0.3397,2727.0,-363.0,212
MNQ,both,1291,1.214,0.4105,1.6824,6.89,2082.0,3.54,8892.5,17.78,0.125,2.58,684,607,0.4371,0.3806,1001.5,-396.5,501
MNQ,long,684,1.231,0.4371,1.4611,6.68,1134.5,2.09,4567.5,9.14,0.129,1.61,684,0,0.4371,0.0,546.5,-351.5,426
MNQ,short,607,1.192,0.3806,1.121,6.97,1887.0,3.62,4232.5,8.46,0.119,1.6,0,607,0.0,0.3806,1001.5,-396.5,380
