date,equity,drawdown
2024-03-01,50184.76,0.0
2024-03-04,50276.52,0.0
2024-03-05,50240.28,36.23999999999796
2024-03-06,50174.04,102.47999999999593
2024-03-07,50177.8,98.71999999999389
2024-03-08,50074.56,201.95999999999913
2024-03-12,50139.32,137.1999999999971
2024-03-13,50089.08,187.43999999999505
2024-03-14,50119.84,156.6800000000003
2024-03-18,50072.6,203.91999999999825
2024-03-20,50065.36,211.15999999999622
2024-04-05,50067.12,209.39999999999418
2024-04-12,50027.88,248.63999999999942
2024-04-28,50004.64,271.8799999999974
2024-04-29,49910.4,366.11999999999534
2024-05-01,49807.16,469.3599999999933
2024-05-03,49573.68,702.8399999999965
2024-05-09,49679.44,597.0799999999945
2024-05-15,49734.2,542.3199999999997
2024-05-17,49734.96,541.5599999999977
2024-05-20,49710.72,565.7999999999956
2024-05-21,49609.48,667.0399999999936
2024-05-22,49757.0,519.5199999999968
2024-05-23,49882.76,393.75999999999476
2024-07-03,49836.52,440.0
2024-07-04,49801.28,475.23999999999796
2024-07-15,49934.04,342.4799999999959
2024-07-16,49968.8,307.7199999999939
2024-07-22,50060.56,215.95999999999913
2024-07-23,50060.32,216.1999999999971
2024-07-24,49889.08,387.43999999999505
2024-07-25,49851.84,424.6800000000003
2024-09-18,49799.6,476.91999999999825
2024-09-24,49904.36,372.1599999999962
2024-11-22,49862.12,414.3999999999942
2025-01-17,49780.88,495.6399999999994
2025-01-23,49763.4,513.1199999999953
2025-01-30,49855.16,421.3599999999933
2025-03-03,49825.92,450.59999999999854
2025-03-10,49755.68,520.8399999999965
2025-03-12,49915.44,361.07999999999447
2025-03-13,50121.2,155.3199999999997
2025-03-17,50098.96,177.55999999999767
2025-03-19,50167.72,108.79999999999563
2025-03-20,50164.48,112.0399999999936
2025-03-24,50224.24,52.279999999998836
2025-03-25,50102.0,174.5199999999968
2025-03-26,50116.76,159.75999999999476
2025-03-27,50138.52,138.0
2025-04-22,49954.28,322.23999999999796
2025-05-05,50016.04,260.4799999999959
2025-05-06,50154.8,121.71999999999389
2025-05-13,50285.56,0.0
2025-05-20,50467.32,0.0
2025-05-21,50567.08,0.0
2025-05-23,50547.84,19.24000000000524
2025-05-26,50601.6,0.0
2025-05-27,50521.36,80.23999999999796
2025-05-28,50604.12,0.0
2025-05-29,50495.88,108.24000000000524
2025-06-02,50585.64,18.4800000000032
2025-07-02,50631.4,0.0
2025-07-07,50646.159999999996,0.0
2025-07-08,50722.92,0.0
2025-07-09,50741.68,0.0
2025-07-15,50739.44,2.2399999999979627
2025-07-16,51004.2,0.0
2025-07-21,51040.96,0.0
2025-09-02,51354.72,0.0
2025-09-03,51287.48,67.23999999999796
2025-09-08,51270.24,84.4800000000032
2025-09-22,51492.0,0.0
2025-09-26,51454.76,37.23999999999796
2025-09-29,51378.52,113.4800000000032
2025-10-30,51511.28,0.0
2025-11-07,51212.8,298.4799999999959
2025-11-10,51367.56,143.72000000000116
2025-11-12,51549.32,0.0
2025-11-21,51426.08,123.23999999999796
2025-11-24,51737.84,0.0
2025-11-25,51629.6,108.23999999999796
2025-12-26,52209.36,0.0
2026-01-05,52125.12,84.23999999999796
2026-01-07,52126.88,82.4800000000032
2026-01-09,52112.64,96.72000000000116
2026-01-19,52034.4,174.95999999999913
2026-01-22,52399.16,0.0
2026-01-23,52412.92,0.0
2026-01-27,52827.68,0.0
2026-02-27,52835.44,0.0
2026-03-04,53122.2,0.0
2026-03-05,53388.96,0.0
