window,trades,pf,sharpe,pnl,maxdd,wr,avgR,exp
full (current),28,2.02,4.176,767.0,227.0,57.1,0.437,27.39
09:00-10:00,11,2.322,5.1672,415.0,177.0,54.5,0.601,37.73
09:00-10:30,22,2.07,4.5607,733.0,227.0,54.5,0.486,33.32
09:00-11:00,23,2.096,4.5684,751.0,227.0,56.5,0.477,32.65
09:30-10:30,19,2.217,5.0672,741.0,227.0,57.9,0.512,39.0
10:00-11:00,12,1.906,3.9976,336.0,109.0,58.3,0.377,28.0
