symbol,mode,trade_count,profit_factor,win_rate,sharpe,expectancy,max_drawdown,max_drawdown_pct,total_pnl,roi_pct,avg_R,avg_trades_per_day,long_trades,short_trades,long_win_rate,short_win_rate,best_trade,worst_trade,trading_days
MES,both,27,0.239,0.1852,-9.8675,-36.44,1160.0,2.32,-983.75,-1.97,-0.62,1.0,27,0,0.1852,0,136.25,-131.25,27
MES,long,27,0.239,0.1852,-9.8675,-36.44,1160.0,2.32,-983.75,-1.97,-0.62,1.0,27,0,0.1852,0,136.25,-131.25,27
MES,short,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0
MGC,both,24,3.41,0.5,3.6676,113.25,518.0,1.03,2718.0,5.44,1.205,1.0,24,0,0.5,0,2332.0,-223.0,24
MGC,long,24,3.41,0.5,3.6676,113.25,518.0,1.03,2718.0,5.44,1.205,1.0,24,0,0.5,0,2332.0,-223.0,24
MGC,short,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0
MNQ,both,28,0.481,0.2143,-4.7125,-50.43,1905.0,3.77,-1412.0,-2.82,-0.407,1.0,28,0,0.2143,0,491.0,-308.0,28
MNQ,long,28,0.481,0.2143,-4.7125,-50.43,1905.0,3.77,-1412.0,-2.82,-0.407,1.0,28,0,0.2143,0,491.0,-308.0,28
MNQ,short,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0
